Date,RTs
2015-11-05,7735
2015-11-06,40681
2015-11-07,28601
2015-11-08,29964
2015-11-09,5987
2015-11-10,27561
2015-11-11,12855
2015-11-12,36169
2015-11-13,45882
2015-11-14,28831
2015-11-15,44839
2015-11-16,58041
2015-11-17,46700
2015-11-18,13409
2015-11-19,39149
2015-11-20,50684
2015-11-21,50113
2015-11-22,47982
2015-11-23,21864
2015-11-24,22969
2015-11-25,16922
2015-11-26,31590
2015-11-27,12913
2015-11-28,15698
2015-11-29,19494
2015-11-30,26480
2015-12-01,22499
2015-12-02,30054
2015-12-03,31373
2015-12-04,23096
2015-12-05,17025
2015-12-06,34744
2015-12-07,89055
2015-12-08,30999
2015-12-09,65985
2015-12-10,56062
2015-12-11,46251
2015-12-12,48200
2015-12-13,44712
2015-12-14,42676
2015-12-15,35333
2015-12-16,42971
2015-12-17,15823
2015-12-18,39279
2015-12-19,28002
2015-12-20,35179
2015-12-21,49486
2015-12-22,27890
2015-12-23,60822
2015-12-24,45194
2015-12-25,40635
2015-12-26,15899
2015-12-27,36787
2015-12-28,27578
2015-12-29,35366
2015-12-30,25783
2015-12-31,36338
2016-01-01,27450
2016-01-02,36599
2016-01-03,55689
2016-01-04,10165
2016-01-05,19948
2016-01-06,35828
2016-01-07,33484
2016-01-08,27231
2016-01-09,14025
2016-01-10,21072
2016-01-11,22609
2016-01-12,16352
2016-01-13,42978
2016-01-14,31324
2016-01-15,11448
2016-01-16,60525
2016-01-17,22766
2016-01-18,15117
2016-01-19,30533
2016-01-20,26991
2016-01-21,25866
2016-01-22,62021
2016-01-23,50374
2016-01-24,29103
2016-01-25,32208
2016-01-26,52848
2016-01-27,47614
2016-01-28,73204
2016-01-29,61372
2016-01-30,42337
2016-01-31,39996
2016-02-01,14299
2016-02-02,44473
2016-02-03,60079
2016-02-04,29831
2016-02-05,24212
2016-02-06,45307
2016-02-07,41031
2016-02-08,42734
2016-02-09,55454
2016-02-10,25893
2016-02-11,40252
2016-02-12,54537
2016-02-13,62420
2016-02-14,72670
2016-02-15,31662
2016-02-16,28851
2016-02-17,94183
2016-02-18,59733
2016-02-19,61079
2016-02-20,55913
2016-02-21,45020
2016-02-22,56479
2016-02-23,68384
2016-02-24,67800
2016-02-25,79477
2016-02-26,89971
2016-02-27,65982
2016-02-28,98138
2016-02-29,53162
2016-03-01,63929
2016-03-02,114999
2016-03-03,94175
2016-03-04,57124
2016-03-05,62148
2016-03-06,56675
2016-03-07,68537
2016-03-08,88534
2016-03-09,51005
2016-03-10,6646
2016-03-11,99556
2016-03-12,140012
2016-03-13,82138
2016-03-14,38624
2016-03-15,146036
2016-03-16,131919
2016-03-17,72574
2016-03-18,82154
2016-03-19,108629
2016-03-20,91500
2016-03-21,5653
2016-03-22,109941
2016-03-23,123111
2016-03-24,146612
2016-03-25,5978
2016-03-26,91526
2016-03-27,58122
2016-03-28,53042
2016-03-29,103979
2016-03-30,42796
2016-03-31,42551
2016-04-01,64193
2016-04-02,48162
2016-04-03,51017
2016-04-04,43423
2016-04-05,63305
2016-04-06,7326
2016-04-07,23524
2016-04-08,56485
2016-04-09,61424
2016-04-10,59667
2016-04-11,61794
2016-04-12,29175
2016-04-13,13630
2016-04-14,32605
2016-04-15,15050
2016-04-16,43508
2016-04-17,60753
2016-04-18,24340
2016-04-19,68495
2016-04-20,56536
2016-04-21,45202
2016-04-22,20715
2016-04-23,37214
2016-04-24,28324
2016-04-25,65305
2016-04-26,63883
2016-04-27,76038
2016-04-28,61969
2016-04-29,63750
2016-04-30,35378
2016-05-01,40145
2016-05-02,64829
2016-05-03,72874
2016-05-04,34328
2016-05-05,106504
2016-05-06,105990
2016-05-07,58261
2016-05-08,28010
2016-05-09,70133
2016-05-10,77565
2016-05-11,92978
2016-05-12,13229
2016-05-13,20053
2016-05-14,33309
2016-05-15,63974
2016-05-16,74107
2016-05-17,96064
2016-05-18,115442
2016-05-19,33055
2016-05-20,70051
2016-05-21,79970
2016-05-22,83786
2016-05-23,22638
2016-05-24,55669
2016-05-25,77911
2016-05-26,44012
2016-05-27,23798
2016-05-28,71014
2016-05-29,42941
2016-05-30,56215
2016-05-31,38423
2016-06-01,15437
2016-06-02,93776
2016-06-03,74464
2016-06-04,70020
2016-06-05,25624
2016-06-06,57301
2016-06-07,22823
2016-06-08,29182
